measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Breast cancer,High fasting plasma glucose,Number,2019,6622.3555385999025,16255.778862395677,1297.0792324154932
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Breast cancer,High fasting plasma glucose,Percent,2019,0.07650701200013865,0.16755760926920724,0.015050853208143995
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Breast cancer,High fasting plasma glucose,Rate,2019,23.593141523924647,57.913666677462764,4.621040613079525
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Breast cancer,High fasting plasma glucose,Percent,2019,0.07794754439347694,0.1707756006980009,0.015428899096514456
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Breast cancer,High fasting plasma glucose,Rate,2019,21.976913127893905,54.152839687713545,4.313307443130921
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Number,2019,1878.5836880642826,6067.405238513065,323.7809573921982
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Percent,2019,0.10101030084726233,0.21581863442831647,0.023367179257964284
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Rate,2019,27.106209913068465,87.54699674426146,4.6718571297564075
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Alzheimer's disease and other dementias,High fasting plasma glucose,Percent,2019,0.10263329354705988,0.21881112307990297,0.023810661524786576
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Alzheimer's disease and other dementias,High fasting plasma glucose,Rate,2019,37.84716161703484,122.1472061124883,6.5175772039730635
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Ovarian cancer,High fasting plasma glucose,Percent,2019,0.07898976123410355,0.1814534669685697,0.016265108855961965
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Ovarian cancer,High fasting plasma glucose,Rate,2019,5.472169102004171,13.616539490959715,0.9080421443262824
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Diabetes mellitus,High fasting plasma glucose,Number,2019,81068.7414109316,98616.78772266487,64914.18884000459
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Diabetes mellitus,High fasting plasma glucose,Percent,2019,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,Diabetes mellitus,High fasting plasma glucose,Rate,2019,1169.7463019799136,1422.9482380513452,936.6511804682087
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Diabetes mellitus,High fasting plasma glucose,Percent,2019,1.0,1.0000000000000002,0.9999999999999998
DALYs (Disability-Adjusted Life Years),Paraguay,Both,Age-standardized,Diabetes mellitus,High fasting plasma glucose,Rate,2019,1435.9562496000838,1741.9412073040728,1153.4545819490825
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All ages,Blindness and vision loss,High fasting plasma glucose,Number,2019,1190.1782551482113,2725.809335614385,287.71216084840194
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All ages,Blindness and vision loss,High fasting plasma glucose,Percent,2019,0.032175241137193236,0.06829793589249225,0.007897179781838307
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All ages,Blindness and vision loss,High fasting plasma glucose,Rate,2019,6.766839364750414,15.497774247894231,1.6358070459823086
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,Blindness and vision loss,High fasting plasma glucose,Percent,2019,0.0351573878475113,0.07455045259296117,0.008644177369324027
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,Blindness and vision loss,High fasting plasma glucose,Rate,2019,8.502180433808626,19.30009057368268,2.066665495940783
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Bladder cancer,High fasting plasma glucose,Number,2019,1247.4310689197678,2870.780809868631,265.67558515194673
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Bladder cancer,High fasting plasma glucose,Percent,2019,0.1124304788475252,0.2344538285280192,0.02446134450655398
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,Bladder cancer,High fasting plasma glucose,Rate,2019,4.444161534188327,10.227590097906052,0.9465093867893692
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Bladder cancer,High fasting plasma glucose,Percent,2019,0.11466389705227166,0.23912948543616827,0.02500524251164691
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Bladder cancer,High fasting plasma glucose,Rate,2019,4.422492082548786,10.190827193104639,0.9458359569410706
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Ischemic heart disease,High fasting plasma glucose,Percent,2019,0.3334754341986965,0.5134071146945477,0.20243984947184135
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Ischemic heart disease,High fasting plasma glucose,Rate,2019,851.355291577973,1342.8632966819996,478.78061641063834
DALYs (Disability-Adjusted Life Years),Brazil,Both,All ages,All causes,High fasting plasma glucose,Number,2019,4778225.907013325,5709063.47567524,4017716.7866217247
DALYs (Disability-Adjusted Life Years),Brazil,Both,All ages,All causes,High fasting plasma glucose,Percent,2019,0.07310801654129795,0.08634804152989752,0.06354116884751686
DALYs (Disability-Adjusted Life Years),Brazil,Both,All ages,All causes,High fasting plasma glucose,Rate,2019,2205.3538947792886,2634.9749083949046,1854.3466834607436
DALYs (Disability-Adjusted Life Years),Brazil,Both,Age-standardized,All causes,High fasting plasma glucose,Percent,2019,0.06882549470301279,0.08171774733018432,0.059551119515295306
DALYs (Disability-Adjusted Life Years),Brazil,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2019,2023.6760159565822,2419.5753260266897,1700.1973918856731
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Percent,2019,0.08086043169386255,0.09496454999469404,0.06905378383149614
